sentence,English Translation,Sentence Type,POS Tags,Phrase Structure,Annotated Trees,Unnamed: 6,Unnamed: 7,Unnamed: 8,Notes
?m? náà ? mu omi.,The child is drinking water.,Simple,NOUN DET AUX VERB NOUN,S ? NP VP,(IP (IP (NP-SBJ (N ?m?) (DET náà)) (VP (ASP ?) (V mu) (NP (N omi)))))) ,,,,—
?é o ti ka ìwé náà?,Have you read the book?,Interrogative,Q PRON AUX VERB NOUN DET,S ? Q VP NP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (ASP ti) (V ka) (NP (N ìwé) (DET náà))))))) ,,,,Ques
"Mo k?? orin, mo sì gbádùn r?.","I composed a song, and I enjoyed it.",Compound,PRON VERB NOUN PRON CONJ VERB PRON,S ? S CONJ S,"(IP (IP (NP-SBJ (PRO Mo)) (VP (V k??) (NP (N orin)) , (CONJ mo) (V sì) (V gbádùn) (NP (PRO r?)))))) ",,,,—
"Tí o bá p?? sùn, ìw? á p?? de ibi i???.","If you sleep late, you will be late to work.",Complex,CONJ PRON AUX VERB ADV PRON AUX ADJ PREP NOUN,"S ? CP , S","(IP (CP (C Tí) (IP (NP-SBJ (PRO o)) (VP (V bá) (V p??) (V sùn)))) , (IP (NP-SBJ (PRO ìw?)) (VP (FUT á) (V p??) (PP (P de) (NP (N ibi i???))))))) ",,,,"Embed, Comp"
Fi ìwé náà sí orí tábìlì.,Put the book on the table.,Imperative,VERB NOUN DET PREP NOUN,S ? VP,(IP (IP (VP (V Fi) (NP (N ìwé) (DET náà)) (PP (P sí) (NP (N orí tábìlì)))))) ,,,,—
?? wo bí àw?? ??run ?e l??wà!,Look how beautiful the color of the sky is!,Exclamative,VERB CONJ NOUN NOUN AUX ADJ,S ? VP,(IP (IP (VP (V ??) (V wo) (CP (C bí) (IP (NP-SBJ (N àw?? ??run)) (VP (V ?e) (ADJ l??wà))))))) ,,,,—
W??n ? ?e àj?y?? l??la.,They are celebrating tomorrow.,Simple,PRON AUX VERB NOUN ADV,S ? NP VP,(IP (IP (VP (ASP W??n) (V ?) (V ?e) (NP (N àj?y??)) (ADVP l??la)))) ,,,,—
Ta ló ? pe ??,Who is calling you?,Interrogative,WH PRON AUX VERB PRON,S ? WH VP,(IP (CP (C Ta) (IP (NP-SBJ (PRO ló)) (VP (ASP ?) (V pe) (NP (PRO ?)))))) ,,,,—
"Mo l? sí ilé ìwòsàn, mo sì gba ìt??jú.","I went to the hospital, and I received treatment.",Compound,PRON VERB PREP NOUN PRON CONJ VERB NOUN,S ? S CONJ S,"(IP (IP (NP-SBJ (PRO Mo)) (VP (V l?) (PP (P sí) (NP (N ilé ìwòsàn))) , (CONJ mo) (V sì) (V gba) (NP (N ìt??jú)))))) ",,,,—
"Bí ?l??run bá f??, à ? b?? láti ??w??n.","If God wills, we will return from the prison",Complex,CONJ NOUN AUX VERB PRON AUX VERB PREP NOUN,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (N ?l??run)) (VP (V bá) (V f??)))) , (IP (VP (ASP à) (V ?) (V b??) (PP (P láti) (NP (N ??w??n)))))) ",,,,"Embed, Comp"
?í apoti náà kí a lè rí nn?kan inú r?.,Open the box so we can see what’s inside it.,Imperative,VERB NOUN DET CONJ PRON AUX VERB NOUN NOUN PRON,S ? VP CP,(IP (IP (VP (V ?í) (NP (N apoti) (DET náà)) (CP (C kí) (IP (NP-SBJ (PRO a)) (VP (V lè) (V rí) (NP (N nn?kan) (PP (P inú) (PRO r?)))))))))) ,,,,Embed
? dúp?? lów? gbogbo ìran??? ?l??run.,Thank all God’s servants.,Simple,PRON VERB PREP ADJ NOUN NOUN,S ? NP VP,(IP (IP (VP (V ?) (V dúp??) (PP (P lów?) (NP (N gbogbo) (N ìran???) (N ?l??run)))))) ,,,,—
?é w??n wà nílé?,Are they at home?,Interrogative,Q PRON AUX ADV,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (V wà) (PP (P nílé)))))) ,,,,Ques
"Mo kó gbogbo àw?n ??rù j?, mo sì fi sínú ?k?.","I gathered all the loads together, and I put them in the vehicle.",Compound,PRON VERB ADJ NOUN NOUN PRON CONJ PRON VERB PREP NOUN,S ? S CONJ S,"(IP (IP (NP-SBJ (PRO Mo)) (VP (V kó) (NP (N gbogbo) (N àw?n) (N ??rù)) , (CONJ mo) (V sì) (V fi) (PP (P sínú) (NP (N ?k?))))))) ",,,,—
"Nígbà tí mo dé ilé, ?k? mi ti l?.","When I arrived home, my husband had left.",Complex,NOUN CONJ PRON VERB NOUN NOUN PRON AUX VERB,"S ? CP , S","(IP (CP (C Nígbà tí) (IP (NP-SBJ (PRO mo)) (VP (V dé) (NP (N ilé))) , (IP (NP-SBJ (N ?k? mi)) (VP (ASP ti) (V l?)))))) ",,,,"Embed, Comp"
Fún mi ní a?? tuntun.,Give me a new cloth.,Imperative,VERB PRON PREP NOUN ADJ,S ? VP,(IP (IP (VP (V Fún) (NP (PRO mi)) (PP (P ní) (NP (N a??) (ADJ tuntun)))))) ,,,,—
? j?? kí a kí àw?n ará wa.,Let us greet our people.,Imperative,VERB CONJ PRON VERB ADJ NOUN PRON,S ? VP,(IP (IP (VP (V ?) (V j??) (CP (C kí) (IP (NP-SBJ (PRO a)) (VP (V kí) (NP (N àw?n ará wa)))))))) ,,,,—
Mo ? k?? àw?n ?m? nípa itan.,I am teaching the children about history.,Simple,PRON AUX VERB ADJ NOUN PREP NOUN,S ? NP VP,(IP (IP (VP (ASP Mo) (V ?) (V k??) (NP (N àw?n ?m?)) (PP (P nípa) (NP (N itan)))))) ,,,,—
Kí ni o rí nínú apoti y?n?,What did you see inside that box?,Interrogative,WH PRON PRON VERB PREP NOUN DET,S ? WH VP,(IP (CP (C Kí) (IP (NP-SBJ (PRO ni)) (VP (V o) (V rí) (PP (P nínú) (NP (N apoti) (DET y?n))))))) ,,,,—
"Òjò r??, mo sì f?? fi a?? bò ara mi.","It rained, and I wanted to cover myself with cloth.",Compound,NOUN VERB PRON CONJ PRON AUX VERB NOUN VERB NOUN PRON,S ? S CONJ S,"(IP (CP (C Òjò) (IP (NP-SBJ (PRO r??)) , (IP (NP-SBJ (PRO mo)) (VP (V sì) (V f??) (VP (V fi) (NP (N a??)) (V bò) (NP (PRO ara mi))))))))) ",,,,—
"Bí o bá gb??, o á lóye.","If you listen, you will understand.",Complex,CONJ PRON AUX VERB PRON AUX VERB,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (PRO o)) (VP (V bá) (V gb??))) , (IP (NP-SBJ (PRO o)) (VP (FUT á) (V lóye)))))) ",,,,"Embed, Comp"
Kó gbogbo ìwé náà sínú àpótí.,Put all the books in the box.,Imperative,VERB ADJ NOUN DET PREP NOUN,S ? VP,(IP (IP (VP (V Kó) (NP (N gbogbo) (N ìwé) (DET náà)) (PP (P sínú) (NP (N àpótí)))))) ,,,,—
?? wo bí ?k? ay??k??l?? ?e ? yara!,Look how fast the car is going!,Exclamative,VERB CONJ NOUN NOUN AUX ADV,S ? VP,(IP (IP (VP (V ??) (V wo) (CP (C bí) (IP (NP-SBJ (N ?k? ay??k??l??)) (VP (V ?e) (ADVP ? yara))))))) ,,,,—
Mo f?? kí ìw? kó apoti náà.,I want you to carry the box.,Complex,PRON AUX CONJ PRON VERB NOUN DET,S ? VP CP,(IP (IP (VP (V Mo) (V f??) (CP (C kí) (IP (NP-SBJ (PRO ìw?)) (VP (V kó) (NP (N apoti) (DET náà)))))))) ,,,,Embed
?é ó m?? ìlú náà?,Does he know the city?,Interrogative,Q PRON VERB NOUN DET,S ? Q VP NP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ó)) (VP (V m??) (PP (P ní) (NP (N ìlú) (DET náà))))))) ,,,,Ques
?m? y?n ? r??rìn-ín.,That child is smiling.,Simple,NOUN DET AUX VERB,S ? NP VP,(IP (IP (NP-SBJ (N ?m?) (DET y?n)) (VP (ASP ?) (V r??rìn-ín)))) ,,,,—
"W??n ta ?ja, w??n sì ta ata.","They sold fish, and they sold pepper.",Compound,PRON VERB NOUN PRON CONJ VERB NOUN,S ? S CONJ S,"(IP (IP (NP-SBJ (PRO W??n)) (VP (V ta) (NP (N ?ja)) , (CONJ w??n) (V sì) (V ta) (NP (N ata)))))) ",,,,—
"Nígbà tí a l? sí ?jà, a rà eso.","When we went to the market, we bought fruit.",Complex,NOUN CONJ PRON VERB PREP NOUN PRON VERB NOUN,"S ? CP , S","(IP (CP (C Nígbà tí) (IP (NP-SBJ (PRO a)) (VP (V l?) (PP (P sí) (NP (N ?jà))))) , (IP (NP-SBJ (PRO a)) (VP (V rà) (NP (N eso)))))) ",,,,"Embed, Comp"
Mú ìwé náà wá sí ilé.,Bring the book to the house.,Imperative,VERB NOUN DET VERB PREP NOUN,S ? VP,(IP (IP (VP (V Mú) (NP (N ìwé) (DET náà)) (PP (P wá) (NP (N sí ilé)))))) ,,,,—
?? fi omi ?ùgb??n ma ?e tú.,Add water but do not pour.,Imperative,VERB NOUN CONJ NEG AUX VERB,S ? VP,(IP (IP (VP (V ??) (V fi) (NP (N omi)) (VP (NEG ?ùgb??n) (V ma ?e tú)))))) ,,,,—
Agbàlagbà náà jó p??lú ay??.,The elder danced with joy.,Simple,NOUN DET VERB PREP NOUN,S ? NP VP,(IP (IP (NP-SBJ (N Agbàlagbà) (DET náà)) (VP (V jó) (PP (P p??lú) (NP (N ay??)))))) ,,,,—
?é ? ti ?i??? r??,Have you done your work?,Interrogative,Q PRON AUX VERB NOUN PRON,S ? Q VP NP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ?)) (VP (ASP ti) (V ?i???) (NP (PRO r?)))))) ,,,,Ques
Mo ní ?k? ay??k??l?? àti k??k??.,I have a car and a bicycle.,Simple,PRON VERB NOUN CONJ NOUN,S ? NP VP,(IP (IP (NP-SBJ (PRO Mo)) (VP (V ní) (NP (N ?k? ay??k??l??) (CONJ àti) (N k??k??)))))) ,,,,—
"Mo ?e ounj?, mo sì dá omi.","I cooked food, and I prepared water.",Compound,PRON VERB NOUN PRON CONJ VERB NOUN,S ? S CONJ S,"(IP (IP (NP-SBJ (PRO Mo)) (VP (V ?e) (NP (N ounj?)) , (CONJ mo) (V sì) (V dá) (NP (N omi)))))) ",,,,—
"Tí o bá m??, s?? ?? kó tó pé.","If you know, speak before it’s too late.",Complex,CONJ PRON AUX VERB VERB CONJ VERB,"S ? CP , S","(IP (CP (C Tí) (IP (NP-SBJ (PRO o)) (VP (V bá) (V m??)))) , (IP (VP (V s??) (NP (PRO ??)) (VP (V kó) (ADVP tó pé)))))) ",,,,"Embed, Comp"
?í ferese náà.,Open the window.,Imperative,VERB NOUN DET,S ? VP,(IP (IP (VP (V ?í) (NP (N ferese) (DET náà)))))) ,,,,—
?? j?? kí gbogbo wa wà ní àj??e.,Let all of us be in unity.,Imperative,VERB CONJ ADJ PRON VERB PREP NOUN,S ? VP,(IP (IP (VP (V ?) (V j??) (CP (C kí) (IP (NP-SBJ (PRO gbogbo wa)) (VP (V wà) (PP (P ní) (NP (N àj??e)))))))))) ,,,,—
Mo f?? kí o k?? àk?síl?? náà.,I want you to write the note.,Complex,PRON AUX CONJ PRON VERB NOUN DET,S ? VP CP,(IP (IP (VP (V Mo) (V f??) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V k??) (NP (N àk?síl??) (DET náà)))))))) ,,,,Embed
?é w??n ti w?lé?,Have they entered?,Interrogative,Q PRON AUX VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (ASP ti) (V w?lé)))))) ,,,,Ques
Mo m?? pé ?l??run ? dáàbò bo wa.,I know that God is protecting us.,Complex,PRON VERB CONJ NOUN AUX VERB VERB PRON,S ? VP CP,(IP (IP (NP-SBJ (PRO Mo)) (VP (V m??) (CP (C pé) (IP (NP-SBJ (N ?l??run)) (VP (ASP ?) (V dáàbò bo) (NP (PRO wa)))))))) ,,,,Embed
"Bí a bá ?i???, a á rí èrè.","If we work, we will see gain.",Complex,CONJ PRON AUX VERB PRON AUX VERB NOUN,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (PRO a)) (VP (V bá) (V ?i???)))) , (IP (NP-SBJ (PRO a)) (VP (FUT á) (V rí) (NP (N èrè)))))) ",,,,"Embed, Comp"
Kó agbada náà sínú ilé.,Put the bowl inside the house.,Imperative,VERB NOUN DET PREP NOUN,S ? VP,(IP (IP (VP (V Kó) (NP (N agbada) (DET náà)) (PP (P sínú) (NP (N ilé)))))) ,,,,—
?? wo bí oorun ?e ? ran!,Look how the sun is shining!,Exclamative,VERB CONJ NOUN AUX VERB,S ? VP,(IP (IP (VP (V ??) (V wo) (CP (C bí) (IP (NP-SBJ (N oorun)) (VP (V ?e) (ADVP ? ran))))))) ,,,,—
Wá si ilé,Come home ,Imperative ,VERB PREP NOUN,S— VP PP NP,(IP (VP (V Wá) (PP (P sí) (NP (N ilé)))))) ,,,,—
Mo rí i ní ?jà.,I saw him at the market.,Simple,PRON VERB PRON PREP NOUN,S ? NP VP,(IP (IP (VP (V Mo) (V rí) (NP (PRO i)) (PP (P ní) (NP (N ?jà)))))) ,,,,—
?é ìw? ti dé?,Have you arrived?,Interrogative,Q PRON AUX VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ìw?)) (VP (ASP ti) (V dé)))))) ,,,,Ques
"?k? mi rà ?ran, ó sì pèsè ìj?un.","My husband bought meat, and he prepared food.",Compound,NOUN PRON VERB NOUN PRON CONJ VERB NOUN,S ? S CONJ S,"(IP (IP (NP-SBJ (N ?k? mi)) (VP (V rà) (NP (N ?ran)) , (CONJ ó) (V sì) (V pèsè) (NP (N ìj?un)))))) ",,,,—
"Tí a bá ?i??? p??lú ìf??, gbogbo wa á ní ay??.","If we work with love, we will all have joy.",Complex,CONJ PRON AUX VERB PREP NOUN ADJ PRON AUX VERB NOUN,"S ? CP , S","(IP (CP (C Tí) (IP (NP-SBJ (PRO a)) (VP (V bá) (V ?i???) (PP (P p??lú) (NP (N ìf??)))))) , (IP (NP-SBJ (PRO gbogbo wa)) (VP (FUT á) (V ní) (NP (N ay??)))))) ",,,,"Embed, Comp"
Fi ?w?? r? mú ìwé náà.,Use your hand to hold the book.,Imperative,VERB NOUN PRON VERB NOUN DET,S ? VP,(IP (IP (VP (V Fi) (NP (N ?w??) (PRO r?)) (V mú) (NP (N ìwé) (DET náà)))))) ,,,,—
?? wo bí omi ?e m??.,See how clear the water is.,Exclamative,VERB CONJ NOUN AUX ADJ,S ? VP,(IP (IP (VP (V ??) (V wo) (CP (C bí) (IP (NP-SBJ (N omi)) (VP (V ?e) (ADJ m??))))))),,,,—
?m? náà ? k?rin.,The child is singing.,Simple,NOUN DET AUX VERB,S ? NP VP,(IP (IP (NP-SBJ (N ?m?) (DET náà)) (VP (ASP ?) (V k?rin)))),,,,—
Ta ni yóò l? sí ìpàdé náà?,Who will go to the meeting?,Interrogative,WH PRON AUX VERB PREP NOUN DET,S ? WH VP,(IP (CP (C Ta) (IP (NP-SBJ (PRO ni)) (VP (FUT yóò) (V l?) (PP (P sí) (NP (N ìpàdé) (DET náà)))))))),,,,—
"Mo kó àw?n ìwé w?lé, mo sì fi sínú àpótí.","I brought in the books, and I put them in the box.",Compound,PRON VERB ADJ NOUN VERB PRON CONJ PRON VERB PREP NOUN,S ? S CONJ S,"(IP (IP (NP-SBJ (PRO Mo)) (VP (V kó) (NP (N àw?n ìwé)) (VP (V w?lé)) , (CONJ mo) (V sì) (V fi) (PP (P sínú) (NP (N àpótí)))))))",,,,—
"Bí ?l??run bá fún wa ní àánú, a ó kún fún ay??.","If God gives us mercy, we will be filled with joy.",Complex,CONJ NOUN AUX VERB PRON PREP NOUN PRON AUX VERB VERB PREP NOUN,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (N ?l??run)) (VP (V bá) (V fún) (NP (PRO wa)) (PP (P ní) (NP (N àánú))))) , (IP (NP-SBJ (PRO a)) (VP (FUT ó) (V kún) (PP (P fún) (NP (N ay??))))))))",,,,"Embed, Comp"
Má ?e gbàgbé láti gbàdúrà.,Do not forget to pray.,Imperative,NEG AUX VERB PREP VERB,S ? VP,(IP (IP (VP (NEG Má) (V ?e) (V gbàgbé) (PP (P láti) (VP (V gbàdúrà)))))) ,,,,—
??r?? tí o s? yá mi l??nu.,The word you said surprised me.,Complex,NOUN COMP PRON VERB VERB PRON PREP NOUN,S ? NP CP,(IP (IP (NP-SBJ (N ??r??) (CP (C tí) (IP (NP-SBJ (PRO o)) (VP (V s?)))))) (VP (V yá) (NP (PRO mi)) (PP (P l??nu))))) ,,,,Embed
?é w??n ti pari i??? náà?,Have they finished the work?,Interrogative,Q PRON AUX VERB NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (ASP ti) (V pari) (NP (N i???) (DET náà)))))) ,,,,Ques
Mo f??ràn ìlú yìí.,I love this town.,Simple,PRON VERB NOUN DET,S ? NP VP,(IP (IP (VP (V Mo) (V f??ràn) (NP (N ìlú) (DET yìí)))) ) ,,,,—
?m? náà ké pé kí w??n t??jú òun.,The child shouted for them to take care of him.,Complex,NOUN DET VERB COMP PRON VERB PRON,S ? NP VP CP,(IP (IP (NP-SBJ (N ?m?) (DET náà)) (VP (V ké) (CP (C pé) (IP (NP-SBJ (PRO w??n)) (VP (V t??jú) (NP (PRO òun))))))))) ,,,,Embed
?í il??kun náà l??s??k?s??!,Open the door immediately!,Imperative,VERB NOUN DET ADV,S ? VP,(IP (IP (VP (V ?í) (NP (N il??kun) (DET náà)) (ADVP l??s??k?s??)))) ,,,,—
Ó dájú pé ìw? ni olù?àkóso tuntun.,It is certain that you are the new leader.,Complex,PRON VERB COMP PRON COP NOUN ADJ,S ? NP VP CP,(IP (IP (VP (V Ó) (V dájú) (CP (C pé) (IP (NP-SBJ (PRO ìw?)) (VP (V ni) (NP (N olù?àkóso) (ADJ tuntun)))))))) ,,,,Embed
?é w??n máa wá sí ay?y? náà?,Will they come to the celebration?,Interrogative,Q PRON AUX VERB PREP NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (FUT máa) (V wá) (PP (P sí) (NP (N ay?y?) (DET náà)))))))) ,,,,Ques
"Bá a ?e ? ?i???, a gb?? orin.","As we worked, we heard singing.",Complex,CONJ PRON AUX VERB PRON VERB NOUN,"S ? CP , S","(IP (IP (VP (ADV Bá a ?e) (V ?) (V ?i???)) , (IP (NP-SBJ (PRO a)) (VP (V gb??) (NP (N orin)))))) ",,,,"Embed, Comp"
Kó gbogbo ìwé j?.,Collect all the books.,Imperative,VERB ADJ NOUN VERB,S ? VP,(IP (IP (VP (V Kó) (NP (N gbogbo ìwé))))) ,,,,—
?? wo bí àw?n ?m? ?e ? r??rìn-ín.,See how the children are laughing.,Exclamative,VERB CONJ ADJ NOUN AUX VERB,S ? VP,(IP (IP (VP (V ??) (V wo) (CP (C bí) (IP (NP-SBJ (N àw?n ?m?)) (VP (V ?e) (ASP ?) (V r??rìn-ín))))))) ,,,,—
"Mo ti ra a?? tuntun, mo sì w?? ó.","I have bought a new dress, and I wore it.",Compound,PRON AUX VERB NOUN ADJ PRON CONJ VERB PRON,S ? S CONJ S,"(IP (IP (VP (ASP Mo) (V ti) (V ra) (NP (N a??) (ADJ tuntun)) , (CONJ mo) (V sì) (V w??) (PRO ó))))) ",,,,—
"Tí mo bá ní à?fààní, màá l? sí òkè.","If I have the opportunity, I will go to the hill.",Complex,CONJ PRON AUX VERB NOUN PRON AUX VERB PREP NOUN,"S ? CP , S","(IP (CP (C Tí) (IP (NP-SBJ (PRO mo)) (VP (V bá) (V ní) (NP (N à?fààní))))) , (IP (VP (ASP màá) (V l?) (PP (P sí) (NP (N òkè))))))) ",,,,"Embed, Comp"
J?? kí n l?.,Let me go.,Imperative,VERB COMP PRON VERB,S ? VP,(IP (IP (VP (V J??) (CP (C kí) (IP (NP-SBJ (PRO n)) (VP (V l?))))))) ,,,,—
Ta ló s??r?? yìí?,Who said this?,Interrogative,WH PRON VERB NOUN DET,S ? WH VP,(IP (CP (C Ta) (IP (NP-SBJ (PRO ló)) (VP (V s??r??) (NP (DET yìí)))))) ,,,,—
Mo m?? pé ?l??run ? gb?? mi.,I know that God hears me.,Complex,PRON VERB COMP NOUN AUX VERB PRON,S ? NP VP CP,(IP (IP (VP (ASP Mo) (V m??) (CP (C pé) (IP (NP-SBJ (N ?l??run)) (VP (ASP ?) (V gb??) (NP (PRO mi))))))))) ,,,,Embed
Gb?? ìtàn náà dáadáa.,Listen to the story well.,Imperative,VERB NOUN DET ADV,S ? VP,(IP (IP (VP (V Gb??) (NP (N ìtàn) (DET náà)) (ADVP dáadáa)))) ,,,,—
?é o m?? ?ni tó wá?,Do you know who came?,Interrogative,Q PRON VERB NOUN COMP VERB,S ? Q NP VP CP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V m??) (NP (PRO ?ni)) (CP (C tó) (IP (VP (V wá))))))))) ,,,,"Embed, Ques"
?m?bìnrin náà ?eré l??d?? àw?n ??r?? r??.,The girl played with her friends.,Simple,NOUN DET VERB PREP ADJ NOUN PRON,S ? NP VP,(IP (IP (NP-SBJ (N ?m?bìnrin) (DET náà)) (VP (V ?eré) (PP (P l??d??) (NP (N àw?n ??r??) (PRO r?)))))) ,,,,—
"Má ?e b??rù, ?l??run wà p??lú r?.","Do not be afraid, God is with you.",Compound,NEG AUX VERB NOUN NOUN VERB PREP PRON,"S ? S , S","(IP (IP (VP (NEG Má) (V ?e) (V b??rù) , (NP-SBJ (N ?l??run)) (VP (V wà) (PP (P p??lú) (PRO r?)))))) ",,,,Comp
?é à ? l? sí ilé ??k???,Are we going to school?,Interrogative,Q PRON AUX VERB PREP NOUN,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO a)) (VP (V ?) (V l?) (PP (P sí) (NP (N ilé ??k??)))))))) ,,,,Ques
Mo j?un kí n tó sùn.,I ate before sleeping.,Complex,PRON VERB CONJ PRON PREP VERB,S ? NP VP CP,(IP (IP (VP (V Mo) (V j?un) (CP (C kí) (IP (VP (V tó) (V sùn))))))) ,,,,Embed
Parí i??? r?.,Finish your work.,Imperative,VERB NOUN PRON,S ? VP,(IP (IP (VP (V Parí) (NP (N i???) (PRO r?)))) ) ,,,,—
??p?? ni fún gbogbo ohun tí ?l??run ti ?e,Thanks be to God for all He has done.,Simple,NOUN VERB PREP ADJ NOUN COMP NOUN AUX VERB,S ? NP VP,(IP (IP (NP-SBJ (N ??p??)) (VP (V ni) (PP (P fún) (NP (NP (DET gbogbo) (N ohun)) (CP (C tí) (IP (NP-SBJ (N ?l??run)) (VP (ASP ti) (V ?e)))))))))) ,,,,—
?é w??n f??ràn orin tuntun yìí?,Do they like this new song?,Interrogative,Q PRON VERB NOUN ADJ DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (V f??ràn) (NP (N orin) (ADJ tuntun) (DET yìí)))))) ,,,,Ques
"Bí o ba f??, ?e b????.","If you want, do so.",Complex,CONJ PRON AUX VERB VERB ADV,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (PRO o)) (VP (V bá) (V f??)))) , (IP (VP (V ?e) (PRO b????))))) ",,,,"Embed, Comp"
Má ?e dààmú mi.,Do not disturb me.,Imperative,NEG AUX VERB PRON,S ? VP,(IP (IP (VP (NEG Má) (V ?e) (V dààmú) (NP (PRO mi)))) ) ,,,,—
Olùkó náà k?? wa ní ìtàn.,The teacher taught us history.,Simple,NOUN DET VERB PRON PREP NOUN,S ? NP VP,(IP (IP (NP-SBJ (N Olùkó) (DET náà)) (VP (V k??) (NP (PRO wa)) (PP (P ní) (NP (N ìtàn)))))) ,,,,—
?é ìw? ló ?e èyí?,Are you the one who did this?,Interrogative,Q PRON COP VERB PRON,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ìw?)) (VP (V ló) (V ?e) (NP (PRO èyí)))))) ,,,,Ques
Kó gbogbo àw?n ?m? wá síbí.,Bring all the children here.,Imperative,VERB ADJ ADJ NOUN VERB PREP,S ? VP,(IP (IP (VP (V Kó) (NP (N gbogbo) (N àw?n ?m?)) (VP (V wá) (PP (P síbí)))))) ,,,,—
"?m? náà ? ké, ó sì ? sunkún.","The child is shouting, and he is crying.",Compound,NOUN DET AUX VERB PRON CONJ AUX VERB,S ? S CONJ S,"(IP (IP (NP-SBJ (N ?m?) (DET náà)) (VP (ASP ?) (V ké) , (CONJ ó) (V sì) (ASP ?) (V sunkún)))) ",,,,—
Mo gbà pé ayé yìí j?? ànfàní.,I believe this world is an opportunity.,Complex,PRON VERB COMP NOUN DET COP NOUN,S ? NP VP CP,(IP (IP (VP (V Mo) (V gbà) (CP (C pé) (IP (NP-SBJ (NP (DET ayé) (DEM yìí))) (VP (V j??) (NP (N ànfàní)))))))) ,,,,Embed
Dìde dúró,Stand up ,Imperative ,VERB VERB ,S— VP VP,(IP (VP (V Dìde) (V dúró))) ,,,,SVC
Mo l? sí ?jà lónìí.,I went to the market today.,Simple,PRON VERB PREP NOUN ADV,S ? NP VP,(IP (IP (VP (V Mo) (V l?) (PP (P sí) (NP (N ?jà))) (ADVP (ADV lónìí))))) ,,,,—
?é o ti rí i?,Have you seen it?,Interrogative,Q PRON AUX VERB PRON,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (ASP ti) (V rí) (PRO i)))))) ,,,,Ques
"??r?? mi pé mi, mo sì dá a lóhùn.","My friend called me, and I answered.",Compound,NOUN PRON VERB PRON PRON CONJ PRON VERB PRON PREP NOUN,S ? S CONJ S,"(IP (IP (NP-SBJ (N ??r??) (PRO mi)) (VP (V pé) (NP (PRO mi)) , (CONJ mo) (V sì) (V dá) (NP (PRO a)) (V lóhùn))))) ",,,,—
"Bí a bá ?i??? takuntakun, a ó rí èrè.","If we work hard, we will get profit.",Complex,CONJ PRON AUX VERB ADV PRON AUX VERB NOUN,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (PRO a)) (VP (V bá) (V ?i???) (ADVP takuntakun)))) , (IP (NP-SBJ (PRO a)) (VP (FUT ó) (V rí) (NP (N èrè)))))) ",,,,"Embed, Comp"
F?w?? kàn omi náà.,Touch the water.,Imperative,VERB NOUN VERB NOUN DET,S ? VP,(IP (IP (VP (V F?w??) (V kàn) (NP (N omi) (DET náà)))))) ,,,,—
?? wo bí ?j?? ?e dùn tó!,See how beautiful the day is!,Exclamative,VERB CONJ NOUN AUX ADJ ADV,S ? VP,(IP (IP (VP (V ??) (V wo) (CP (C bí) (IP (NP-SBJ (N ?j??)) (VP (V ?e) (ADJ dùn) (ADVP tó)))))))) ,,,,—
?m? náà ? mu omi.,The child is drinking water.,Simple,NOUN DET AUX VERB NOUN,S ? NP VP,(IP (IP (NP-SBJ (N ?m?) (DET náà)) (VP (ASP ?) (V mu) (NP (N omi)))) ) ,,,,—
Ta ni wá síbí?,Who came here?,Interrogative,WH PRON VERB PREP,S ? WH VP,(IP (CP (C Ta) (IP (NP-SBJ (PRO ni)) (VP (V wá) (PP (P síbí)))))) ,,,,—
"Mo mu omi, mo sì j?un.","I drank water, and I ate.",Compound,PRON VERB NOUN PRON CONJ VERB,S ? S CONJ S,"(IP (IP (VP (V Mo) (V mu) (NP (N omi)) , (CONJ mo) (V sì) (V j?un)))) ",,,,—
